,local_ppl_cnt,vx,vy
0,0,0.9238795325112867,0.3826834323650898
1,0,0.9238795325112867,0.3826834323650898
2,0,0.9238795325112867,0.3826834323650898
3,0,0.9238795325112867,0.3826834323650898
4,0,0.7071067811865476,0.7071067811865475
5,0,0.6589443951138522,-0.2729437053058935
6,0,0.47845399210662953,0.0
7,0,0.47845399210662953,0.0
8,0,0.1830964159281446,0.44203385055563177
9,0,0.38268343236508984,0.9238795325112867
10,1,-0.7071067811865475,0.7071067811865476
11,1,-0.7071067811865475,0.7071067811865476
12,2,-0.7071067811865475,0.7071067811865476
13,3,-0.7071067811865475,0.7071067811865476
14,3,-0.7071067811865475,0.7071067811865476
15,4,-0.7071067811865475,0.7071067811865476
16,4,0.38268343236508984,0.9238795325112867
17,4,0.38268343236508984,0.9238795325112867
18,4,-0.3826834323650897,0.9238795325112867
19,4,6.123233995736766e-17,1.0
20,4,-0.2862305178902687,3.505312875526068e-17
21,4,-0.3826834323650897,0.9238795325112867
22,4,0.27294370530589307,0.6589443951138523
23,4,4.367312598097899e-17,0.7132362736976232
24,4,4.367312598097899e-17,0.7132362736976232
25,4,6.123233995736766e-17,1.0
26,4,6.123233995736766e-17,1.0
27,4,6.123233995736766e-17,1.0
28,4,6.123233995736766e-17,1.0
29,4,6.123233995736766e-17,1.0
30,4,6.123233995736766e-17,1.0
31,4,6.123233995736766e-17,1.0
32,4,0.38268343236508984,0.9238795325112867
33,4,6.123233995736766e-17,1.0
34,4,6.123233995736766e-17,1.0
35,4,6.123233995736766e-17,1.0
36,3,6.123233995736766e-17,1.0
37,2,-0.3826834323650897,0.9238795325112867
38,1,-0.3826834323650897,0.9238795325112867
39,0,-0.3826834323650897,0.9238795325112867
40,0,-0.3826834323650897,0.9238795325112867
41,0,-0.3826834323650897,0.9238795325112867
42,0,-0.3826834323650897,0.9238795325112867
