,local_ppl_cnt,vx,vy
0,0,6.123233995736766e-17,1.0
1,0,0.005297590047121032,0.9290838241577148
2,1,-0.017983409576118003,0.6699473857879639
3,1,-0.22204558947123587,0.9840288758277893
4,1,0.0441185671952553,0.6685400456190109
5,1,0.2990034046670189,0.6249695159494877
6,1,0.1748295443430834,0.48914220463484526
7,3,0.12786135205442406,0.7660187075380236
8,3,0.11629601663958056,0.5632344476762228
9,3,0.019200178583048455,0.7939632827328751
10,3,0.4759320710596313,0.29072452293985407
11,4,0.09088458824879453,0.7049258404013017
12,5,-0.11411216699535753,0.6599886307892575
13,5,0.3140051302056379,0.27665417565236794
14,5,0.41075413947856926,0.2942331520716124
15,5,-0.020265389043416793,0.5665297424793074
16,5,-0.13554162424678073,-0.019778734743607806
17,6,0.008928994522434008,0.521277840211978
18,6,-0.01013968871091192,-0.2778773193992745
19,6,0.36930884058733,0.46367097754496545
20,6,0.05643919956281196,0.3671829168440268
21,6,0.48463955411012777,0.25128557268093266
22,6,0.15787022477906798,0.3105855731912719
23,6,-0.12908189619688804,0.4230419359168609
24,6,-0.22151751164427858,0.800016906973809
25,5,-0.19004671904319126,0.43740012281916285
26,5,-0.1620316887861013,0.46159096087352736
27,5,0.1044446539159477,0.9714220726887606
28,5,-0.16567192142636622,0.6475433978736567
29,5,-0.18012492109411243,0.6148464734330898
30,5,-0.05351326055134298,0.5457661192845646
31,5,0.4278275282173979,0.8494139940464007
32,4,0.2933309160910269,0.7876587831171981
33,4,-0.15211063003225478,0.3901721926922076
34,4,0.05059381294486409,0.26031979116756265
35,4,0.3968679604548029,1.1114223017763982
36,3,0.21300742757453106,1.3325156580263295
37,2,0.2293690870116173,1.4502188720445275
