,local_ppl_cnt,vx,vy
0,1,-0.01505953073501587,0.3760523200035095
1,1,-0.028365887701511383,0.36533406376838684
2,1,-0.09865548461675644,0.5275081396102905
3,1,-0.04815056174993515,0.7038078308105469
4,2,-0.07038480043411255,0.6053693890571594
5,2,-0.0643976479768753,0.6298171281814575
6,2,-0.06733205169439316,0.6263460516929626
7,3,-0.07142862677574158,0.607404351234436
8,5,-0.08141957223415375,0.581229567527771
9,5,-0.1034305989742279,0.5925346612930298
10,5,-0.12922044098377228,0.6863803267478943
11,6,-0.0962313711643219,0.8085293173789978
12,9,-0.07405580580234528,0.791050374507904
13,9,-0.0585440918803215,0.735008180141449
14,10,-0.03873310983181,0.5670573115348816
15,10,-0.09805504232645035,0.429186075925827
16,11,-0.14356796443462372,0.35172179341316223
17,12,-0.1734257936477661,0.3130727708339691
18,12,-0.19844719767570496,0.2626272439956665
19,12,-0.18899081647396088,0.2277490645647049
20,11,-0.16101378202438354,0.17992810904979706
21,10,-0.09296290576457977,0.3114682734012604
22,10,-0.07519616931676865,0.32394760847091675
23,11,0.10670637339353561,0.4699154794216156
24,10,0.17978620529174805,0.5433060526847839
25,11,0.2196664810180664,0.5713764429092407
26,11,0.33775803446769714,0.6556035876274109
27,11,0.3887171745300293,0.7007274031639099
28,10,0.3853931427001953,0.7368611693382263
29,10,0.43439269065856934,0.8230422735214233
30,9,0.4651503562927246,0.885231614112854
31,10,0.4004803001880646,0.8744074106216431
32,10,0.28510966897010803,0.7748212814331055
33,11,0.1889296919107437,0.6882907748222351
34,11,0.09385096281766891,0.6090582013130188
35,11,0.08352022618055344,0.584790825843811
36,11,-0.041359879076480865,0.5270444750785828
37,11,-0.01849735900759697,0.592710018157959
38,10,0.008723076432943344,0.6665890216827393
39,9,0.04614107310771942,0.7045132517814636
40,10,0.05102270841598511,0.6876267790794373
41,9,-0.17073944211006165,0.9853162169456482
42,7,-0.17073944211006165,0.9853162169456482
43,9,-0.17073942720890045,0.9853162169456482
44,10,-0.17073944211006165,0.9853162169456482
45,9,-0.17073942720890045,0.9853162169456482
46,9,-0.146181121468544,0.8435932397842407
47,9,-0.1096358448266983,0.6326949000358582
48,9,-0.08222687989473343,0.4745211899280548
49,9,-0.06167016178369522,0.3558908998966217
