,local_ppl_cnt,vx,vy
0,2,0.7071067811865476,0.7071067811865475
1,4,0.7071067811865476,0.7071067811865475
2,4,0.7071067811865476,0.7071067811865475
3,4,-0.3826834323650897,0.9238795325112867
4,4,-0.3826834323650897,0.9238795325112867
5,5,6.123233995736766e-17,1.0
6,5,6.123233995736766e-17,1.0
7,5,6.123233995736766e-17,1.0
8,8,6.123233995736766e-17,1.0
9,8,6.123233995736766e-17,1.0
10,10,-0.3826834323650897,0.9238795325112867
11,10,6.123233995736766e-17,1.0
12,12,-0.3826834323650897,0.9238795325112867
13,12,6.123233995736766e-17,1.0
14,12,-0.3826834323650897,0.9238795325112867
15,11,6.123233995736766e-17,1.0
16,11,6.123233995736766e-17,1.0
17,10,-0.3826834323650897,0.9238795325112867
18,10,-0.3826834323650897,0.9238795325112867
19,11,6.123233995736766e-17,1.0
20,11,0.38268343236508984,0.9238795325112867
21,11,6.123233995736766e-17,1.0
22,12,0.38268343236508984,0.9238795325112867
23,12,0.38268343236508984,0.9238795325112867
24,12,0.38268343236508984,0.9238795325112867
25,12,0.38268343236508984,0.9238795325112867
26,12,0.38268343236508984,0.9238795325112867
27,10,6.123233995736766e-17,1.0
28,8,6.123233995736766e-17,1.0
29,8,-0.3826834323650897,0.9238795325112867
30,8,-0.3826834323650897,0.9238795325112867
31,7,-0.3826834323650897,0.9238795325112867
32,5,-0.3826834323650897,0.9238795325112867
33,0,-0.3826834323650897,0.9238795325112867
34,0,-0.3826834323650897,0.9238795325112867
35,0,-0.3826834323650897,0.9238795325112867
36,1,-0.3826834323650897,0.9238795325112867
37,3,-0.3826834323650897,0.9238795325112867
38,3,-0.3826834323650897,0.9238795325112867
39,3,6.123233995736766e-17,1.0
40,3,6.123233995736766e-17,1.0
41,3,6.123233995736766e-17,1.0
42,3,-0.3826834323650897,0.9238795325112867
43,5,-0.3826834323650897,0.9238795325112867
44,7,-0.9238795325112867,0.3826834323650899
45,7,-0.7071067811865475,0.7071067811865476
46,8,6.123233995736766e-17,1.0
47,8,6.123233995736766e-17,1.0
48,8,6.123233995736766e-17,1.0
49,9,6.123233995736766e-17,1.0
50,11,0.38268343236508984,0.9238795325112867
51,11,0.38268343236508984,0.9238795325112867
52,11,0.38268343236508984,0.9238795325112867
53,10,0.38268343236508984,0.9238795325112867
54,9,0.38268343236508984,0.9238795325112867
55,10,0.38268343236508984,0.9238795325112867
56,10,0.38268343236508984,0.9238795325112867
57,9,0.38268343236508984,0.9238795325112867
58,10,0.7071067811865476,0.7071067811865475
59,10,0.38268343236508984,0.9238795325112867
60,10,0.38268343236508984,0.9238795325112867
61,10,6.123233995736766e-17,1.0
62,9,6.123233995736766e-17,1.0
63,8,6.123233995736766e-17,1.0
64,7,6.123233995736766e-17,1.0
65,7,6.123233995736766e-17,1.0
66,7,6.123233995736766e-17,1.0
