2021-01-30 09:43:23, INFO: Using device: cuda:0
2021-01-30 09:43:23, INFO: Policy: SARL w/ global state
2021-01-30 09:43:25, INFO: human number: 14
2021-01-30 09:43:25, INFO: Not randomize human's radius and preferred speed
2021-01-30 09:43:25, INFO: Training simulation: circle_crossing, test simulation: circle_crossing
2021-01-30 09:43:25, INFO: Square width: 10.0, circle width: 4.0
2021-01-30 09:43:25, INFO: Current learning rate: 0.010000
2021-01-30 10:01:13, INFO: TRAIN has success rate: 0.77, collision rate: 0.23, nav time: 12.44, total reward: 0.0320
2021-01-30 10:04:54, INFO: Finish imitation learning. Weights saved.
2021-01-30 10:04:54, INFO: Experience set size: 100000/100000
2021-01-30 10:04:54, INFO: Agent is visible and has holonomic kinematic constraint
2021-01-30 10:04:54, INFO: Current learning rate: 0.001000
2021-01-30 10:35:23, INFO: VAL   in episode 0 has success rate: 0.42, collision rate: 0.58, nav time: 8.76, total reward: -0.0183
2021-01-30 10:35:23, INFO: Frequency of being in danger: 6.40 and average min separate distance in danger: 0.08
2021-01-30 10:35:32, INFO: TRAIN in episode 0 has success rate: 0.00, collision rate: 1.00, nav time: 150.00, total reward: -0.1803
2021-01-30 10:35:35, INFO: TRAIN in episode 1 has success rate: 0.00, collision rate: 1.00, nav time: 150.00, total reward: -0.2380
2021-01-30 10:35:37, INFO: TRAIN in episode 2 has success rate: 0.00, collision rate: 1.00, nav time: 150.00, total reward: -0.2484
2021-01-30 10:36:07, INFO: TRAIN in episode 3 has success rate: 0.00, collision rate: 1.00, nav time: 150.00, total reward: -0.0338
2021-01-30 10:36:13, INFO: TRAIN in episode 4 has success rate: 0.00, collision rate: 1.00, nav time: 150.00, total reward: -0.2391
2021-01-30 10:36:17, INFO: TRAIN in episode 5 has success rate: 0.00, collision rate: 1.00, nav time: 150.00, total reward: -0.1921
2021-01-30 10:36:38, INFO: TRAIN in episode 6 has success rate: 0.00, collision rate: 1.00, nav time: 150.00, total reward: -0.0598
2021-01-30 10:37:12, INFO: TRAIN in episode 7 has success rate: 0.00, collision rate: 1.00, nav time: 150.00, total reward: -0.0377
2021-01-30 10:37:45, INFO: TRAIN in episode 8 has success rate: 1.00, collision rate: 0.00, nav time: 25.75, total reward: 0.0433
2021-01-30 10:38:04, INFO: TRAIN in episode 9 has success rate: 0.00, collision rate: 1.00, nav time: 150.00, total reward: -0.0603
2021-01-30 10:38:22, INFO: TRAIN in episode 10 has success rate: 0.00, collision rate: 1.00, nav time: 150.00, total reward: -0.0806
