,local_ppl_cnt,vx,vy
0,1,6.123233995736766e-17,1.0
1,2,6.123233995736766e-17,1.0
2,3,0.010130626440984062,0.9999486838872849
3,4,0.00756598170491902,0.9999713775507981
4,5,-0.042439255235133914,0.9990990489511473
5,7,-0.009142645570031282,0.9999582051425854
6,7,0.011988690325876161,0.9999281330697073
7,7,0.055585163484252416,0.9984539496643944
8,10,-0.0004048775476258564,0.9999999180370823
9,12,0.011228511910891607,0.9999369582730038
10,15,-0.019971629203865027,0.9998005471227466
11,16,-0.04391528440528225,0.9990352585347542
12,17,-0.04503726560231251,0.9989853075531525
13,17,-0.034785983206116,0.9993947845433174
14,18,-0.05363941085161839,0.9985603705352477
